序号,心率 (BPM),时间
1,77,2026/5/10 0:27
2,79,2026/5/10 0:27
3,81,2026/5/10 0:27
4,76,2026/5/10 0:27
5,74,2026/5/10 0:27
6,70,2026/5/10 0:27
7,74,2026/5/10 0:27
8,75,2026/5/10 0:28
9,74,2026/5/10 0:28
10,75,2026/5/10 0:28
11,77,2026/5/10 0:28
12,76,2026/5/10 0:28
13,78,2026/5/10 0:28
14,86,2026/5/10 0:28
15,84,2026/5/10 0:29
16,82,2026/5/10 0:29
17,79,2026/5/10 0:29
18,82,2026/5/10 0:29
19,86,2026/5/10 0:29
20,85,2026/5/10 0:29
21,83,2026/5/10 0:29
22,86,2026/5/10 0:29
23,85,2026/5/10 0:29
24,89,2026/5/10 0:29
25,80,2026/5/10 0:30
26,84,2026/5/10 0:30
27,78,2026/5/10 0:30
28,82,2026/5/10 0:30
29,85,2026/5/10 0:30
30,82,2026/5/10 0:30
31,83,2026/5/10 0:30
32,86,2026/5/10 0:30
33,84,2026/5/10 0:30
34,85,2026/5/10 0:31
35,86,2026/5/10 0:31
36,85,2026/5/10 0:31
37,84,2026/5/10 0:31
38,86,2026/5/10 0:31
39,76,2026/5/10 0:31
40,75,2026/5/10 0:31
41,74,2026/5/10 0:31
42,75,2026/5/10 0:31
43,77,2026/5/10 0:32
44,80,2026/5/10 0:32
45,84,2026/5/10 0:32
46,83,2026/5/10 0:32
47,85,2026/5/10 0:32
48,86,2026/5/10 0:32
49,85,2026/5/10 0:32
50,81,2026/5/10 0:32
51,79,2026/5/10 0:32
52,78,2026/5/10 0:33
53,80,2026/5/10 0:33
54,81,2026/5/10 0:33
55,80,2026/5/10 0:33
56,87,2026/5/10 0:33
57,85,2026/5/10 0:33
58,84,2026/5/10 0:33
59,85,2026/5/10 0:33
60,78,2026/5/10 0:33
61,79,2026/5/10 0:33
62,85,2026/5/10 0:33
63,72,2026/5/10 0:33
64,75,2026/5/10 0:34
65,76,2026/5/10 0:34
66,75,2026/5/10 0:34
67,77,2026/5/10 0:34
68,76,2026/5/10 0:34
69,80,2026/5/10 0:34
70,76,2026/5/10 0:35
71,77,2026/5/10 0:35
72,82,2026/5/10 0:35
73,80,2026/5/10 0:35
74,77,2026/5/10 0:35
75,75,2026/5/10 0:35
76,77,2026/5/10 0:35
77,76,2026/5/10 0:35
78,77,2026/5/10 0:35
79,76,2026/5/10 0:35
80,74,2026/5/10 0:35
81,77,2026/5/10 0:36
82,82,2026/5/10 0:36
83,78,2026/5/10 0:36
84,81,2026/5/10 0:36
85,77,2026/5/10 0:36
86,78,2026/5/10 0:36
87,79,2026/5/10 0:36
88,77,2026/5/10 0:36
89,78,2026/5/10 0:37
90,75,2026/5/10 0:37
91,73,2026/5/10 0:37
92,74,2026/5/10 0:37
93,80,2026/5/10 0:37
94,76,2026/5/10 0:37
95,75,2026/5/10 0:37
96,77,2026/5/10 0:37
97,80,2026/5/10 0:37
98,84,2026/5/10 0:37
99,77,2026/5/10 0:38
