序号,hi3863,apple_watch,时间,offset_seconds
1,76.0,77.0,2026-05-10 00:27:00,0
2,75.0,79.0,2026-05-10 00:27:08,0
3,67.0,81.0,2026-05-10 00:27:17,0
4,74.0,76.0,2026-05-10 00:27:25,0
5,63.0,74.0,2026-05-10 00:27:34,0
6,78.0,70.0,2026-05-10 00:27:42,0
7,88.0,74.0,2026-05-10 00:27:51,0
8,76.0,75.0,2026-05-10 00:28:00,0
9,72.0,74.0,2026-05-10 00:28:08,0
10,70.0,75.0,2026-05-10 00:28:17,0
11,74.0,77.0,2026-05-10 00:28:25,0
12,72.0,76.0,2026-05-10 00:28:34,0
13,76.0,78.0,2026-05-10 00:28:42,0
14,90.0,86.0,2026-05-10 00:28:51,0
15,78.0,84.0,2026-05-10 00:29:00,0
16,80.0,82.0,2026-05-10 00:29:06,0
17,74.0,79.0,2026-05-10 00:29:12,0
18,83.0,82.0,2026-05-10 00:29:18,0
19,88.0,86.0,2026-05-10 00:29:24,0
20,78.0,85.0,2026-05-10 00:29:30,0
21,83.0,83.0,2026-05-10 00:29:36,0
22,88.0,86.0,2026-05-10 00:29:42,0
23,93.0,85.0,2026-05-10 00:29:48,0
24,72.0,89.0,2026-05-10 00:29:54,0
25,83.0,80.0,2026-05-10 00:30:00,0
26,74.0,84.0,2026-05-10 00:30:06,0
27,82.0,78.0,2026-05-10 00:30:13,0
28,86.0,82.0,2026-05-10 00:30:20,0
29,81.5,85.0,2026-05-10 00:30:26,0
30,82.0,82.0,2026-05-10 00:30:33,0
31,80.0,83.0,2026-05-10 00:30:40,0
32,85.0,86.0,2026-05-10 00:30:46,0
33,82.0,84.0,2026-05-10 00:30:53,0
34,85.0,85.0,2026-05-10 00:31:00,0
35,88.5,86.0,2026-05-10 00:31:06,0
36,78.0,85.0,2026-05-10 00:31:13,0
37,70.0,84.0,2026-05-10 00:31:20,0
38,73.0,86.0,2026-05-10 00:31:26,0
39,79.0,76.0,2026-05-10 00:31:33,0
40,67.0,75.0,2026-05-10 00:31:40,0
41,73.0,74.0,2026-05-10 00:31:46,0
42,79.0,75.0,2026-05-10 00:31:53,0
43,75.0,77.0,2026-05-10 00:32:00,0
44,76.0,80.0,2026-05-10 00:32:06,0
45,83.0,84.0,2026-05-10 00:32:13,0
46,80.0,83.0,2026-05-10 00:32:20,0
47,85.0,85.0,2026-05-10 00:32:26,0
48,91.0,86.0,2026-05-10 00:32:33,0
49,76.0,85.0,2026-05-10 00:32:40,0
50,76.0,81.0,2026-05-10 00:32:46,0
51,76.0,79.0,2026-05-10 00:32:53,0
52,78.0,78.0,2026-05-10 00:33:00,0
53,79.0,80.0,2026-05-10 00:33:05,0
54,79.0,81.0,2026-05-10 00:33:10,0
55,90.0,80.0,2026-05-10 00:33:15,0
56,88.0,87.0,2026-05-10 00:33:20,0
57,82.0,85.0,2026-05-10 00:33:25,0
58,85.0,84.0,2026-05-10 00:33:30,0
59,72.0,85.0,2026-05-10 00:33:35,0
60,73.0,78.0,2026-05-10 00:33:40,0
61,88.0,79.0,2026-05-10 00:33:45,0
62,71.0,85.0,2026-05-10 00:33:50,0
63,70.0,72.0,2026-05-10 00:33:55,0
64,68.0,75.0,2026-05-10 00:34:00,0
65,74.0,76.0,2026-05-10 00:34:10,0
66,73.0,75.0,2026-05-10 00:34:20,0
67,76.0,77.0,2026-05-10 00:34:30,0
68,74.0,76.0,2026-05-10 00:34:40,0
69,80.0,80.0,2026-05-10 00:34:50,0
70,75.0,76.0,2026-05-10 00:35:00,0
71,76.0,77.0,2026-05-10 00:35:05,0
72,78.0,82.0,2026-05-10 00:35:10,0
73,73.0,80.0,2026-05-10 00:35:16,0
74,72.0,77.0,2026-05-10 00:35:21,0
75,72.0,75.0,2026-05-10 00:35:27,0
76,74.0,77.0,2026-05-10 00:35:32,0
77,72.0,76.0,2026-05-10 00:35:38,0
78,76.0,77.0,2026-05-10 00:35:43,0
79,67.0,76.0,2026-05-10 00:35:49,0
80,68.0,74.0,2026-05-10 00:35:54,0
81,75.0,77.0,2026-05-10 00:36:00,0
82,79.0,82.0,2026-05-10 00:36:07,0
83,85.0,78.0,2026-05-10 00:36:15,0
84,74.0,81.0,2026-05-10 00:36:22,0
85,76.0,77.0,2026-05-10 00:36:30,0
86,73.0,78.0,2026-05-10 00:36:37,0
87,76.0,79.0,2026-05-10 00:36:45,0
88,75.0,77.0,2026-05-10 00:36:52,0
89,70.0,78.0,2026-05-10 00:37:00,0
90,71.0,75.0,2026-05-10 00:37:06,0
91,73.0,73.0,2026-05-10 00:37:12,0
92,76.0,74.0,2026-05-10 00:37:18,0
93,78.0,80.0,2026-05-10 00:37:24,0
94,71.0,76.0,2026-05-10 00:37:30,0
95,72.0,75.0,2026-05-10 00:37:36,0
96,77.0,77.0,2026-05-10 00:37:42,0
97,90.0,80.0,2026-05-10 00:37:48,0
98,75.0,84.0,2026-05-10 00:37:54,0
99,72.0,77.0,2026-05-10 00:38:00,0
