序号,心率 (BPM),时间
1,73,2026-05-10 15:03:35
2,74,2026-05-10 15:03:42
3,70,2026-05-10 15:03:47
4,74,2026-05-10 15:03:52
5,76,2026-05-10 15:03:57
6,77,2026-05-10 15:04:02
7,74,2026-05-10 15:04:07
8,73,2026-05-10 15:04:12
9,72,2026-05-10 15:04:17
10,75,2026-05-10 15:04:22
11,74,2026-05-10 15:04:27
12,82,2026-05-10 15:04:37
13,77,2026-05-10 15:04:47
14,75,2026-05-10 15:04:52
15,74,2026-05-10 15:04:57
16,73,2026-05-10 15:05:02
17,74,2026-05-10 15:05:07
18,72,2026-05-10 15:05:12
19,68,2026-05-10 15:05:17
20,66,2026-05-10 15:05:22
21,70,2026-05-10 15:05:42
22,72,2026-05-10 15:05:47
23,69,2026-05-10 15:05:52
24,68,2026-05-10 15:06:07
25,70,2026-05-10 15:06:12
26,72,2026-05-10 15:06:17
27,71,2026-05-10 15:06:27
28,72,2026-05-10 15:06:37
29,82,2026-05-10 15:06:42
30,84,2026-05-10 15:06:47
31,87,2026-05-10 15:06:52
32,76,2026-05-10 15:06:57
33,72,2026-05-10 15:07:02
34,75,2026-05-10 15:07:07
35,74,2026-05-10 15:07:17
36,75,2026-05-10 15:07:22
37,72,2026-05-10 15:07:27
38,71,2026-05-10 15:07:32
39,70,2026-05-10 15:07:37
40,69,2026-05-10 15:07:42
41,68,2026-05-10 15:07:47
42,69,2026-05-10 15:07:52
43,70,2026-05-10 15:07:57
44,71,2026-05-10 15:08:02
45,73,2026-05-10 15:08:07
46,74,2026-05-10 15:08:12
47,73,2026-05-10 15:08:17
48,72,2026-05-10 15:08:22
49,71,2026-05-10 15:08:32
50,72,2026-05-10 15:08:42
51,70,2026-05-10 15:08:47
52,69,2026-05-10 15:08:52
53,70,2026-05-10 15:08:57
54,71,2026-05-10 15:09:17
55,77,2026-05-10 15:09:22
56,78,2026-05-10 15:09:32
57,76,2026-05-10 15:09:47
58,72,2026-05-10 15:09:52
59,70,2026-05-10 15:09:57
60,68,2026-05-10 15:10:02
61,69,2026-05-10 15:10:22
62,68,2026-05-10 15:10:27
63,69,2026-05-10 15:10:32
64,67,2026-05-10 15:10:37
65,68,2026-05-10 15:10:42
66,67,2026-05-10 15:10:47
67,68,2026-05-10 15:10:52
68,67,2026-05-10 15:11:02
69,65,2026-05-10 15:11:07
70,66,2026-05-10 15:11:32
71,67,2026-05-10 15:11:37
72,68,2026-05-10 15:11:42
73,67,2026-05-10 15:11:52
74,68,2026-05-10 15:12:07
75,70,2026-05-10 15:12:12
76,71,2026-05-10 15:12:17
77,69,2026-05-10 15:12:32
78,67,2026-05-10 15:12:37
79,71,2026-05-10 15:12:47
80,70,2026-05-10 15:12:52
81,69,2026-05-10 15:13:02
82,70,2026-05-10 15:13:07
83,68,2026-05-10 15:13:12
84,69,2026-05-10 15:13:22
85,72,2026-05-10 15:13:32
86,76,2026-05-10 15:13:37
87,81,2026-05-10 15:13:42
88,76,2026-05-10 15:13:47
89,77,2026-05-10 15:13:52
90,75,2026-05-10 15:13:57
