序号,hi3863,apple_watch,时间,offset_seconds
1,69.0,74.0,2026-05-10 15:03:42,10
2,70.0,70.0,2026-05-10 15:03:47,10
3,72.0,74.0,2026-05-10 15:03:52,10
4,73.0,76.0,2026-05-10 15:03:57,10
5,75.0,77.0,2026-05-10 15:04:02,10
6,72.0,74.0,2026-05-10 15:04:07,10
7,72.0,73.0,2026-05-10 15:04:12,10
8,70.0,72.0,2026-05-10 15:04:17,10
9,65.0,75.0,2026-05-10 15:04:22,10
10,73.0,74.0,2026-05-10 15:04:27,10
11,78.0,82.0,2026-05-10 15:04:37,10
12,71.0,77.0,2026-05-10 15:04:47,10
13,71.0,75.0,2026-05-10 15:04:52,10
14,72.0,74.0,2026-05-10 15:04:57,10
15,74.0,73.0,2026-05-10 15:05:02,10
16,66.0,74.0,2026-05-10 15:05:07,10
17,78.0,72.0,2026-05-10 15:05:12,10
18,63.0,68.0,2026-05-10 15:05:17,10
19,74.0,66.0,2026-05-10 15:05:22,10
20,70.0,70.0,2026-05-10 15:05:42,10
21,67.0,72.0,2026-05-10 15:05:47,10
22,71.0,69.0,2026-05-10 15:05:52,10
23,67.0,68.0,2026-05-10 15:06:07,10
24,71.0,70.0,2026-05-10 15:06:12,10
25,70.0,72.0,2026-05-10 15:06:17,10
26,68.0,71.0,2026-05-10 15:06:27,10
27,70.0,72.0,2026-05-10 15:06:37,10
28,78.0,82.0,2026-05-10 15:06:42,10
29,90.0,84.0,2026-05-10 15:06:47,10
30,90.0,87.0,2026-05-10 15:06:52,10
31,76.0,76.0,2026-05-10 15:06:57,10
32,66.0,72.0,2026-05-10 15:07:02,10
33,63.0,75.0,2026-05-10 15:07:07,10
34,74.0,74.0,2026-05-10 15:07:17,10
35,82.0,75.0,2026-05-10 15:07:22,10
36,72.0,72.0,2026-05-10 15:07:27,10
37,64.0,71.0,2026-05-10 15:07:32,10
38,67.0,70.0,2026-05-10 15:07:37,10
39,63.0,69.0,2026-05-10 15:07:42,10
40,66.0,68.0,2026-05-10 15:07:47,10
41,68.0,69.0,2026-05-10 15:07:52,10
42,70.0,70.0,2026-05-10 15:07:57,10
43,65.0,71.0,2026-05-10 15:08:02,10
44,70.0,73.0,2026-05-10 15:08:07,10
45,72.0,74.0,2026-05-10 15:08:12,10
46,80.0,73.0,2026-05-10 15:08:17,10
47,73.0,72.0,2026-05-10 15:08:22,10
48,68.0,71.0,2026-05-10 15:08:32,10
49,65.0,72.0,2026-05-10 15:08:42,10
50,71.0,70.0,2026-05-10 15:08:47,10
51,78.0,69.0,2026-05-10 15:08:52,10
52,66.0,70.0,2026-05-10 15:08:57,10
53,68.0,71.0,2026-05-10 15:09:17,10
54,73.0,77.0,2026-05-10 15:09:22,10
55,70.0,78.0,2026-05-10 15:09:32,10
56,76.0,76.0,2026-05-10 15:09:47,10
57,75.0,72.0,2026-05-10 15:09:52,10
58,64.0,70.0,2026-05-10 15:09:57,10
59,63.0,68.0,2026-05-10 15:10:02,10
60,67.0,69.0,2026-05-10 15:10:22,10
61,64.0,68.0,2026-05-10 15:10:27,10
62,63.0,69.0,2026-05-10 15:10:32,10
63,70.0,67.0,2026-05-10 15:10:37,10
64,61.0,68.0,2026-05-10 15:10:42,10
65,62.5,67.0,2026-05-10 15:10:47,10
66,65.0,68.0,2026-05-10 15:10:52,10
67,57.0,67.0,2026-05-10 15:11:02,10
68,60.0,65.0,2026-05-10 15:11:07,10
69,67.0,66.0,2026-05-10 15:11:32,10
70,68.0,67.0,2026-05-10 15:11:37,10
71,66.0,68.0,2026-05-10 15:11:42,10
72,60.0,67.0,2026-05-10 15:11:52,10
73,67.0,68.0,2026-05-10 15:12:07,10
74,70.0,70.0,2026-05-10 15:12:12,10
75,58.0,71.0,2026-05-10 15:12:17,10
76,68.0,69.0,2026-05-10 15:12:32,10
77,64.0,67.0,2026-05-10 15:12:37,10
78,65.0,71.0,2026-05-10 15:12:47,10
79,74.0,70.0,2026-05-10 15:12:52,10
80,67.0,69.0,2026-05-10 15:13:02,10
81,71.0,70.0,2026-05-10 15:13:07,10
82,72.0,68.0,2026-05-10 15:13:12,10
83,65.0,69.0,2026-05-10 15:13:22,10
84,75.0,72.0,2026-05-10 15:13:32,10
85,74.0,76.0,2026-05-10 15:13:37,10
86,82.0,81.0,2026-05-10 15:13:42,10
87,83.0,76.0,2026-05-10 15:13:47,10
88,78.0,77.0,2026-05-10 15:13:52,10
89,78.0,75.0,2026-05-10 15:13:57,10
