序号,心率 (BPM),时间
1,103,2026-05-10 13:20:54
2,83,2026-05-10 13:20:56
3,80,2026-05-10 13:20:58
4,85,2026-05-10 13:21:01
5,86,2026-05-10 13:21:05
6,91,2026-05-10 13:21:11
7,90,2026-05-10 13:21:16
8,82,2026-05-10 13:21:21
9,83,2026-05-10 13:21:26
10,88,2026-05-10 13:21:30
11,86,2026-05-10 13:21:36
12,88,2026-05-10 13:21:41
13,84,2026-05-10 13:21:46
14,87,2026-05-10 13:21:56
15,95,2026-05-10 13:22:01
16,91,2026-05-10 13:22:06
17,95,2026-05-10 13:22:11
18,91,2026-05-10 13:22:15
19,94,2026-05-10 13:22:26
20,95,2026-05-10 13:22:30
21,102,2026-05-10 13:22:36
22,103,2026-05-10 13:22:41
23,98,2026-05-10 13:22:46
24,99,2026-05-10 13:22:50
25,96,2026-05-10 13:22:56
26,95,2026-05-10 13:23:05
27,84,2026-05-10 13:23:11
28,82,2026-05-10 13:23:15
29,85,2026-05-10 13:23:20
30,91,2026-05-10 13:23:26
31,89,2026-05-10 13:23:30
32,90,2026-05-10 13:23:35
33,88,2026-05-10 13:23:46
34,86,2026-05-10 13:23:50
35,89,2026-05-10 13:24:15
36,98,2026-05-10 13:24:16
37,99,2026-05-10 13:24:20
38,103,2026-05-10 13:24:26
39,91,2026-05-10 13:24:31
40,87,2026-05-10 13:24:41
41,89,2026-05-10 13:24:56
42,88,2026-05-10 13:25:01
43,86,2026-05-10 13:25:06
44,88,2026-05-10 13:25:11
45,83,2026-05-10 13:25:21
46,86,2026-05-10 13:25:26
47,90,2026-05-10 13:25:31
48,91,2026-05-10 13:25:35
49,92,2026-05-10 13:25:40
50,87,2026-05-10 13:25:45
51,88,2026-05-10 13:25:51
52,90,2026-05-10 13:25:55
53,98,2026-05-10 13:26:00
54,84,2026-05-10 13:26:06
55,87,2026-05-10 13:26:11
56,86,2026-05-10 13:26:15
57,85,2026-05-10 13:26:20
58,86,2026-05-10 13:26:25
59,87,2026-05-10 13:26:30
60,88,2026-05-10 13:26:36
61,85,2026-05-10 13:26:40
62,88,2026-05-10 13:26:45
63,87,2026-05-10 13:27:00
64,93,2026-05-10 13:27:10
65,94,2026-05-10 13:27:16
66,85,2026-05-10 13:27:21
67,94,2026-05-10 13:27:25
68,93,2026-05-10 13:27:30
69,95,2026-05-10 13:27:36
70,83,2026-05-10 13:27:41
71,85,2026-05-10 13:27:46
72,93,2026-05-10 13:27:51
73,95,2026-05-10 13:27:55
74,93,2026-05-10 13:28:01
75,82,2026-05-10 13:28:06
76,84,2026-05-10 13:28:11
77,87,2026-05-10 13:28:16
78,86,2026-05-10 13:28:21
79,88,2026-05-10 13:28:26
80,82,2026-05-10 13:28:31
81,84,2026-05-10 13:28:36
82,83,2026-05-10 13:28:40
83,85,2026-05-10 13:28:46
84,93,2026-05-10 13:28:56
85,92,2026-05-10 13:29:01
86,85,2026-05-10 13:29:06
87,82,2026-05-10 13:29:16
88,85,2026-05-10 13:29:26
89,83,2026-05-10 13:29:30
90,78,2026-05-10 13:29:41
91,74,2026-05-10 13:29:46
92,83,2026-05-10 13:29:55
93,84,2026-05-10 13:30:00
94,83,2026-05-10 13:30:06
95,84,2026-05-10 13:30:11
96,81,2026-05-10 13:30:15
97,84,2026-05-10 13:30:26
98,82,2026-05-10 13:30:31
99,84,2026-05-10 13:30:40
100,81,2026-05-10 13:30:46
101,82,2026-05-10 13:30:50
102,83,2026-05-10 13:30:55
103,84,2026-05-10 13:31:00
104,87,2026-05-10 13:31:05
105,96,2026-05-10 13:31:11
106,86,2026-05-10 13:31:16
107,87,2026-05-10 13:31:20
108,83,2026-05-10 13:31:25
109,82,2026-05-10 13:31:31
110,81,2026-05-10 13:31:36
111,82,2026-05-10 13:31:41
112,81,2026-05-10 13:31:45
113,84,2026-05-10 13:31:50
114,91,2026-05-10 13:31:56
115,88,2026-05-10 13:32:01
116,87,2026-05-10 13:32:06
117,89,2026-05-10 13:32:11
118,82,2026-05-10 13:32:15
119,88,2026-05-10 13:32:21
120,89,2026-05-10 13:32:26
121,102,2026-05-10 13:32:30
122,93,2026-05-10 13:32:35
123,88,2026-05-10 13:32:40
124,85,2026-05-10 13:32:47
125,89,2026-05-10 13:32:55
126,84,2026-05-10 13:33:01
127,89,2026-05-10 13:33:05
128,92,2026-05-10 13:33:10
129,96,2026-05-10 13:33:16
130,82,2026-05-10 13:33:21
131,81,2026-05-10 13:33:26
132,85,2026-05-10 13:33:30
133,91,2026-05-10 13:33:36
134,88,2026-05-10 13:33:51
135,87,2026-05-10 13:33:55
136,86,2026-05-10 13:34:00
137,87,2026-05-10 13:34:05
138,95,2026-05-10 13:34:20
139,92,2026-05-10 13:34:26
140,94,2026-05-10 13:34:30
141,83,2026-05-10 13:34:36
142,84,2026-05-10 13:34:41
143,86,2026-05-10 13:34:45
144,91,2026-05-10 13:34:51
145,84,2026-05-10 13:34:55
146,87,2026-05-10 13:35:00
147,91,2026-05-10 13:35:05
148,84,2026-05-10 13:35:11
149,85,2026-05-10 13:35:20
150,85,2026-05-10 13:35:24
