序号,hi3863,apple_watch,时间,offset_seconds
1,79.0,84.0,2026-05-10 16:53:57,10
2,83.0,85.0,2026-05-10 16:54:02,10
3,82.0,84.0,2026-05-10 16:54:13,10
4,95.0,88.0,2026-05-10 16:54:18,10
5,90.0,89.0,2026-05-10 16:54:23,10
6,90.0,88.0,2026-05-10 16:54:28,10
7,85.0,85.0,2026-05-10 16:54:43,10
8,86.0,90.0,2026-05-10 16:54:49,10
9,95.0,95.0,2026-05-10 16:54:58,10
10,95.0,94.0,2026-05-10 16:55:04,10
11,90.0,93.0,2026-05-10 16:55:18,10
12,97.0,96.0,2026-05-10 16:55:23,10
13,91.0,88.0,2026-05-10 16:55:29,10
14,83.0,84.0,2026-05-10 16:55:34,10
15,76.0,86.0,2026-05-10 16:55:39,10
16,85.0,87.0,2026-05-10 16:55:43,10
17,86.0,89.0,2026-05-10 16:55:48,10
18,90.0,88.0,2026-05-10 16:55:53,10
19,85.0,87.0,2026-05-10 16:55:58,10
20,91.0,91.0,2026-05-10 16:56:04,10
21,88.0,86.0,2026-05-10 16:56:13,10
22,82.0,84.0,2026-05-10 16:56:19,10
23,82.0,91.0,2026-05-10 16:56:28,10
24,88.0,89.0,2026-05-10 16:56:33,10
25,90.0,83.0,2026-05-10 16:56:38,10
26,80.0,87.0,2026-05-10 16:56:49,10
27,86.0,88.0,2026-05-10 16:56:53,10
28,86.0,84.0,2026-05-10 16:56:58,10
29,83.0,87.0,2026-05-10 16:57:03,10
30,88.0,86.0,2026-05-10 16:57:08,10
31,83.0,88.0,2026-05-10 16:57:13,10
32,91.0,92.0,2026-05-10 16:57:18,10
33,93.0,95.0,2026-05-10 16:57:24,10
34,95.0,94.0,2026-05-10 16:57:29,10
35,93.0,90.0,2026-05-10 16:57:34,10
36,91.0,89.0,2026-05-10 16:57:43,10
37,88.0,91.0,2026-05-10 16:57:48,10
38,97.0,99.0,2026-05-10 16:57:53,10
39,91.0,88.0,2026-05-10 16:57:59,10
40,83.0,87.0,2026-05-10 16:58:03,10
41,86.0,90.0,2026-05-10 16:58:09,10
42,88.0,92.0,2026-05-10 16:58:18,10
43,82.0,89.0,2026-05-10 16:58:23,10
44,86.0,85.0,2026-05-10 16:58:28,10
45,83.0,86.0,2026-05-10 16:58:33,10
46,86.0,91.0,2026-05-10 16:58:38,10
47,97.0,95.0,2026-05-10 16:58:44,10
48,95.0,91.0,2026-05-10 16:58:49,10
49,95.0,90.0,2026-05-10 16:58:53,10
50,88.0,92.0,2026-05-10 16:58:59,10
51,99.0,88.0,2026-05-10 16:59:04,10
52,78.0,82.0,2026-05-10 16:59:19,10
53,71.0,83.0,2026-05-10 16:59:23,10
54,83.0,88.0,2026-05-10 16:59:29,10
55,95.0,86.0,2026-05-10 16:59:34,10
56,85.5,87.0,2026-05-10 16:59:43,10
57,86.0,90.0,2026-05-10 16:59:48,10
58,91.0,88.0,2026-05-10 16:59:53,10
59,85.0,89.0,2026-05-10 16:59:59,10
60,86.0,85.0,2026-05-10 17:00:08,10
61,78.0,86.0,2026-05-10 17:00:13,10
62,86.0,87.0,2026-05-10 17:00:18,10
63,88.0,92.0,2026-05-10 17:00:23,10
64,88.0,84.0,2026-05-10 17:00:29,10
65,79.0,83.0,2026-05-10 17:00:33,10
66,78.0,86.0,2026-05-10 17:00:38,10
67,90.0,88.0,2026-05-10 17:00:43,10
68,91.0,87.0,2026-05-10 17:00:48,10
69,84.5,81.0,2026-05-10 17:00:54,10
70,73.0,82.0,2026-05-10 17:00:58,10
71,83.0,92.0,2026-05-10 17:01:03,10
72,93.0,91.0,2026-05-10 17:01:08,10
73,83.0,86.0,2026-05-10 17:01:13,10
74,82.0,85.0,2026-05-10 17:01:18,10
75,83.0,87.0,2026-05-10 17:01:23,10
76,82.0,86.0,2026-05-10 17:01:28,10
77,83.0,81.0,2026-05-10 17:01:34,10
78,74.0,82.0,2026-05-10 17:01:38,10
79,79.0,85.0,2026-05-10 17:01:48,10
80,91.0,96.0,2026-05-10 17:01:53,10
81,99.0,86.0,2026-05-10 17:01:59,10
82,83.0,83.0,2026-05-10 17:02:04,10
83,80.0,81.0,2026-05-10 17:02:09,10
84,76.0,85.0,2026-05-10 17:02:14,10
85,85.0,86.0,2026-05-10 17:02:23,10
86,85.0,83.0,2026-05-10 17:02:28,10
87,90.0,94.0,2026-05-10 17:02:38,10
88,97.0,90.0,2026-05-10 17:02:43,10
89,90.0,85.0,2026-05-10 17:02:54,10
90,91.0,86.0,2026-05-10 17:03:04,10
91,91.0,85.0,2026-05-10 17:03:08,10
92,88.0,90.0,2026-05-10 17:03:13,10
93,91.0,83.0,2026-05-10 17:03:19,10
94,76.0,82.0,2026-05-10 17:03:23,10
95,80.0,90.0,2026-05-10 17:03:29,10
96,95.0,88.0,2026-05-10 17:03:33,10
97,90.0,89.0,2026-05-10 17:03:38,10
98,88.0,92.0,2026-05-10 17:03:43,10
99,90.0,86.0,2026-05-10 17:03:59,10
100,83.0,85.0,2026-05-10 17:04:04,10
101,80.0,87.0,2026-05-10 17:04:09,10
102,85.0,83.0,2026-05-10 17:04:14,10
103,85.0,82.0,2026-05-10 17:04:18,10
104,91.0,84.0,2026-05-10 17:04:23,10
