序号,心率 (BPM),时间
1,78,2026-05-10 17:11:30
2,76,2026-05-10 17:11:31
3,75,2026-05-10 17:11:41
4,73,2026-05-10 17:11:46
5,74,2026-05-10 17:11:51
6,77,2026-05-10 17:12:01
7,76,2026-05-10 17:12:06
8,73,2026-05-10 17:12:26
9,76,2026-05-10 17:12:31
10,75,2026-05-10 17:12:36
11,78,2026-05-10 17:12:41
12,82,2026-05-10 17:12:46
13,78,2026-05-10 17:12:56
14,75,2026-05-10 17:13:01
15,74,2026-05-10 17:13:06
16,75,2026-05-10 17:13:11
17,76,2026-05-10 17:13:16
18,75,2026-05-10 17:13:21
19,74,2026-05-10 17:13:26
20,75,2026-05-10 17:13:31
21,74,2026-05-10 17:13:36
22,75,2026-05-10 17:13:41
23,73,2026-05-10 17:13:51
24,72,2026-05-10 17:14:01
25,73,2026-05-10 17:14:11
26,72,2026-05-10 17:14:16
27,73,2026-05-10 17:14:31
28,74,2026-05-10 17:14:46
29,73,2026-05-10 17:14:51
30,72,2026-05-10 17:14:56
31,73,2026-05-10 17:15:01
32,76,2026-05-10 17:15:11
33,83,2026-05-10 17:15:21
34,88,2026-05-10 17:15:26
35,89,2026-05-10 17:15:31
36,78,2026-05-10 17:15:36
37,71,2026-05-10 17:15:41
38,69,2026-05-10 17:15:46
39,70,2026-05-10 17:15:51
40,74,2026-05-10 17:15:56
41,73,2026-05-10 17:16:01
42,70,2026-05-10 17:16:06
43,68,2026-05-10 17:16:11
44,66,2026-05-10 17:16:21
45,67,2026-05-10 17:16:26
46,68,2026-05-10 17:16:36
47,70,2026-05-10 17:16:41
48,71,2026-05-10 17:16:46
49,69,2026-05-10 17:16:51
50,71,2026-05-10 17:17:06
51,74,2026-05-10 17:17:21
52,76,2026-05-10 17:17:26
53,78,2026-05-10 17:17:31
54,79,2026-05-10 17:17:36
55,76,2026-05-10 17:17:41
56,75,2026-05-10 17:17:46
57,73,2026-05-10 17:17:51
58,71,2026-05-10 17:17:56
59,70,2026-05-10 17:18:01
60,71,2026-05-10 17:18:16
61,72,2026-05-10 17:18:21
62,73,2026-05-10 17:18:36
63,72,2026-05-10 17:18:46
64,73,2026-05-10 17:19:01
65,71,2026-05-10 17:19:06
66,72,2026-05-10 17:19:11
67,71,2026-05-10 17:19:16
68,72,2026-05-10 17:19:26
69,74,2026-05-10 17:19:36
70,82,2026-05-10 17:19:41
71,76,2026-05-10 17:19:46
72,73,2026-05-10 17:19:51
73,72,2026-05-10 17:20:01
74,73,2026-05-10 17:20:11
75,72,2026-05-10 17:20:16
76,73,2026-05-10 17:20:21
77,71,2026-05-10 17:20:26
78,70,2026-05-10 17:20:31
79,71,2026-05-10 17:20:36
80,70,2026-05-10 17:20:41
81,74,2026-05-10 17:20:46
82,73,2026-05-10 17:20:51
83,74,2026-05-10 17:21:11
84,79,2026-05-10 17:21:16
85,77,2026-05-10 17:21:21
86,75,2026-05-10 17:21:26
87,73,2026-05-10 17:21:31
88,74,2026-05-10 17:21:36
89,73,2026-05-10 17:21:41
90,74,2026-05-10 17:21:46
91,75,2026-05-10 17:21:51
92,76,2026-05-10 17:21:56
93,74,2026-05-10 17:22:01
94,77,2026-05-10 17:22:11
95,79,2026-05-10 17:22:16
96,77,2026-05-10 17:22:26
97,78,2026-05-10 17:22:31
98,77,2026-05-10 17:22:36
99,78,2026-05-10 17:22:41
100,88,2026-05-10 17:22:51
101,81,2026-05-10 17:22:56
102,78,2026-05-10 17:23:01
103,79,2026-05-10 17:23:11
104,80,2026-05-10 17:23:16
